Source;Target;Label;Weight
131;148;"Edge from 131 to 148";0.054616
152;148;"Edge from 152 to 148";0.027429
157;148;"Edge from 157 to 148";0.049556
159;148;"Edge from 159 to 148";0.08729
170;148;"Edge from 170 to 148";0.035842
125;149;"Edge from 125 to 149";0.081231
126;149;"Edge from 126 to 149";0.012018
129;149;"Edge from 129 to 149";0.012952
146;149;"Edge from 146 to 149";0.017038
150;149;"Edge from 150 to 149";0.039202
152;149;"Edge from 152 to 149";0.042172
155;149;"Edge from 155 to 149";0.026325
172;149;"Edge from 172 to 149";0.05
118;150;"Edge from 118 to 150";0.1586
125;150;"Edge from 125 to 150";0.023354
127;150;"Edge from 127 to 150";0.010476
146;150;"Edge from 146 to 150";0.028456
149;150;"Edge from 149 to 150";0.039202
153;150;"Edge from 153 to 150";0.033321
168;150;"Edge from 168 to 150";0.080485
170;150;"Edge from 170 to 150";0.010104
172;150;"Edge from 172 to 150";0.079996
130;151;"Edge from 130 to 151";0.19483
135;151;"Edge from 135 to 151";0.010607
154;151;"Edge from 154 to 151";0.061094
156;151;"Edge from 156 to 151";0.028164
159;151;"Edge from 159 to 151";0.025103
169;151;"Edge from 169 to 151";0.019159
118;152;"Edge from 118 to 152";0.014512
125;152;"Edge from 125 to 152";0.017475
126;152;"Edge from 126 to 152";0.079143
148;152;"Edge from 148 to 152";0.027429
149;152;"Edge from 149 to 152";0.042172
157;152;"Edge from 157 to 152";0.01158
170;152;"Edge from 170 to 152";0.057634
172;152;"Edge from 172 to 152";0.036296
127;153;"Edge from 127 to 153";0.12931
150;153;"Edge from 150 to 153";0.033321
163;153;"Edge from 163 to 153";0.048374
165;153;"Edge from 165 to 153";0.014444
173;153;"Edge from 173 to 153";0.079589
177;153;"Edge from 177 to 153";0.02472
120;154;"Edge from 120 to 154";0.24985
130;154;"Edge from 130 to 154";0.048923
151;154;"Edge from 151 to 154";0.061094
156;154;"Edge from 156 to 154";0.031323
162;154;"Edge from 162 to 154";0.030335
169;154;"Edge from 169 to 154";0.080514
129;155;"Edge from 129 to 155";0.085106
131;155;"Edge from 131 to 155";0.010717
138;155;"Edge from 138 to 155";0.010587
149;155;"Edge from 149 to 155";0.026325
159;155;"Edge from 159 to 155";0.023744
170;155;"Edge from 170 to 155";0.018545
130;156;"Edge from 130 to 156";0.028432
135;156;"Edge from 135 to 156";0.19263
137;156;"Edge from 137 to 156";0.038885
151;156;"Edge from 151 to 156";0.028164
154;156;"Edge from 154 to 156";0.031323
169;156;"Edge from 169 to 156";0.06451
128;157;"Edge from 128 to 157";0.14886
145;157;"Edge from 145 to 157";0.09436
148;157;"Edge from 148 to 157";0.049556
152;157;"Edge from 152 to 157";0.01158
170;157;"Edge from 170 to 157";0.035062
179;157;"Edge from 179 to 157";0.010913
122;158;"Edge from 122 to 158";0.025331
124;158;"Edge from 124 to 158";0.079706
132;158;"Edge from 132 to 158";0.14292
144;158;"Edge from 144 to 158";0.01517
164;158;"Edge from 164 to 158";0.011272
165;158;"Edge from 165 to 158";0.033822
